Group,Actinomyces bouchesdurhonensis,Actinomyces naeslundii,Actinomyces viscosus,Aggregatibacter kilianii,Alkaliphilus metalliredigens,Alloscardovia omnicolens,Anaerosphaera massiliensis,Anaerostipes hadrus,Bifidobacterium animalis,Bifidobacterium catenulatum,Bifidobacterium dentium,Bifidobacterium longum,Bilophila wadsworthia,Blautia wexlerae,Campylobacter concisus,Campylobacter gracilis,Citrobacter pasteurii,Clostridium methylpentosum,Corynebacterium argentoratense,Corynebacterium durum,Desulfovibrio porci,Dialister invisus,Enterococcus hirae,Escherichia fergusonii,Eubacterium brachy,Eubacterium sulci,Faecalibacterium prausnitzii,Fermentimonas caenicola,Fusobacterium animalis,Fusobacterium nucleatum,Fusobacterium pseudoperiodonticum,Gemella morbillorum,Gemella sanguinis,Gemella taiwanensis,Gemmiger formicilis,Granulicatella adiacens,Haemophilus parainfluenzae,Haemophilus paraphrohaemolyticus,Haemophilus pittmaniae,Haemophilus sputorum,Klebsiella aerogenes,Klebsiella oxytoca,Klebsiella pneumoniae,Klebsiella quasipneumoniae,Klebsiella variicola,Kluyvera sichuanensis,Lacticaseibacillus chiayiensis,Lactiplantibacillus pingfangensis,Lactobacillus acidophilus,Lactobacillus crispatus,Lactobacillus gasseri,Lancefieldella parvula,Leclercia pneumoniae,Leptotrichia massiliensis,Leptotrichia wadei,Ligilactobacillus salivarius,Limosilactobacillus caviae,Limosilactobacillus fermentum,Limosilactobacillus mucosae,Limosilactobacillus oris,Limosilactobacillus urinaemulieris,Megasphaera micronuciformis,Mogibacterium neglectum,Moryella indoligenes,Natranaerovirga pectinivora,Neisseria mucosa,Neisseria subflava,Parasporobacterium paucivorans,Parvimonas micra,Peptostreptococcus stomatis,Petrocella atlantisensis,Phocaeicola vulgatus,Prevotella veroralis,Romboutsia timonensis,Rothia dentocariosa,Rothia mucilaginosa,Ructibacterium gallinarum,Schaalia cardiffensis,Schaalia meyeri,Schaalia odontolytica,Solobacterium moorei,Streptococcus anginosus,Streptococcus cristatus,Streptococcus dentirousetti,Streptococcus downei,Streptococcus gordonii,Streptococcus ilei,Streptococcus mutans,Streptococcus parasanguinis,Streptococcus periodonticum,Streptococcus rubneri,Streptococcus salivarius,Streptococcus sanguinis,Streptococcus sobrinus,Streptococcus thermophilus,Streptococcus vaginalis,Veillonella atypica,Veillonella denticariosi,Veillonella nakazawae,Veillonella parvula,Veillonella rodentium,Veillonella rogosae,Veillonella tobetsuensis,Waltera intestinalis
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.613333333,1.126666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.953333333,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0.313333333,1.92,0.34,1.2,0,0,0,0,0,0,0,0,0,0,0,0
HC,0,0,0,0,1.973333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0
HC,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,1.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.446666667,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.026666667,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213333333,0,0,0,0,0,0,3.986666667,0,0,0,0.253333333,15.56,0,0,0,0,3.78,0,5.073333333,0,0.306666667,0,0.1,0
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0.766666667,0,0,0,0,0.08,0,1.106666667,0,0,0,0.12,0
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.62666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206666667,0,0,1.366666667,0,0,0,1.066666667,0,0,5.293333333,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,2.486666667,0,0,0,0,0,0,0,0,0,0,0,0
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.766666667,0,0,0,0,0,0,0,0,0,0,0,0
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0.726666667,0,0,0,2.106666667,0,0,18.60666667,0,0.306666667,0,0,0,0,0,0,0,0,0,0,0,0
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.326666667,0,0,0,1.62,0,0,0,0,0,0,1.66,0,0,0.413333333,1.886666667,0,0,0,0,0,0,0,0,0,0,1.62,0,0
